"Order number","Order date","Product name",Category,quantity,"Total price","Customer name","Customer contact","Customer address","Employee full name","Employee birthday","Supplier name","Suplier phone","Sipper name","Shipper phone"
10384,1996-12-16,"Camembert Pierrot","Dairy Products",15,510,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Janet Leverling",1963-08-30,"Gai paturage",38.76.98.06,"Federal Shipping","(503) 555-9931"
10278,1996-08-12,Vegie-spread,Condiments,8,351.2,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Laura Callahan",1958-01-09,"Pavlova, Ltd.","(03) 444-2343","United Package","(503) 555-3199"
10278,1996-08-12,"Raclette Courdavault","Dairy Products",15,825,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Laura Callahan",1958-01-09,"Gai paturage",38.76.98.06,"United Package","(503) 555-3199"
10280,1996-08-14,"Pate chinois",Meat/Poultry,20,480,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Andrew Fuller",1952-02-19,"Ma Maison","(514) 555-9022","Speedy Express","(503) 555-9831"
10278,1996-08-12,"Gula Malacca",Condiments,16,311.2,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Laura Callahan",1958-01-09,"Leka Trading",555-8787,"United Package","(503) 555-3199"
10280,1996-08-14,"Guarana Fantastica",Beverages,12,54,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Andrew Fuller",1952-02-19,"Refrescos Americanas LTDA","(11) 555 4640","Speedy Express","(503) 555-9831"
10384,1996-12-16,"Sir Rodneys Marmalade",Confections,28,2268,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Janet Leverling",1963-08-30,"Specialty Biscuits, Ltd.","(161) 555-4448","Federal Shipping","(503) 555-9931"
10436,1997-02-05,"Rhonbrau Klosterbier",Beverages,24,186,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Janet Leverling",1963-08-30,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","United Package","(503) 555-3199"
10297,1996-09-04,"Mozzarella di Giovanni","Dairy Products",20,696,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Steven Buchanan",1955-03-04,"Formaggi Fortini s.r.l.","(0544) 60323","United Package","(503) 555-3199"
10265,1996-07-25,"Outback Lager",Beverages,20,300,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Andrew Fuller",1952-02-19,"Pavlova, Ltd.","(03) 444-2343","Speedy Express","(503) 555-9831"
10436,1997-02-05,"Wimmers gute Semmelknodel",Grains/Cereals,30,997.5,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Janet Leverling",1963-08-30,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","United Package","(503) 555-3199"
10436,1997-02-05,"Gnocchi di nonna Alice",Grains/Cereals,40,1520,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Janet Leverling",1963-08-30,"Pasta Buttini s.r.l.","(089) 6547665","United Package","(503) 555-3199"
10360,1996-11-22,Tourtiere,Meat/Poultry,28,208.6,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Margaret Peacock",1958-09-19,"Ma Maison","(514) 555-9022","Federal Shipping","(503) 555-9931"
10360,1996-11-22,Maxilaku,Confections,35,700,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Margaret Peacock",1958-09-19,"Karkki Oy","(953) 10956","Federal Shipping","(503) 555-9931"
10436,1997-02-05,Spegesild,Seafood,5,60,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Janet Leverling",1963-08-30,Lyngbysild,43844108,"United Package","(503) 555-3199"
10360,1996-11-22,"Cote de Blaye",Beverages,10,2635,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Margaret Peacock",1958-09-19,"Aux joyeux ecclesiastiques","(1) 03.83.00.68","Federal Shipping","(503) 555-9931"
10297,1996-09-04,"Chartreuse verte",Beverages,60,1080,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Steven Buchanan",1955-03-04,"Aux joyeux ecclesiastiques","(1) 03.83.00.68","United Package","(503) 555-3199"
10360,1996-11-22,"Thuringer Rostbratwurst",Meat/Poultry,35,4332.650000000001,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10360,1996-11-22,"Rossle Sauerkraut",Produce,30,1368,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10265,1996-07-25,"Alice Mutton",Meat/Poultry,30,1170,"Blondel pere et fils","Frederique Citeaux","24, place Kleber","Andrew Fuller",1952-02-19,"Pavlova, Ltd.","(03) 444-2343","Speedy Express","(503) 555-9831"
10326,1996-10-10,"Rhonbrau Klosterbier",Beverages,50,387.5,"Bolido Comidas preparadas","Martin Sommer","C/ Araquil, 67","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","United Package","(503) 555-3199"
10326,1996-10-10,"Ravioli Angelo",Grains/Cereals,16,312,"Bolido Comidas preparadas","Martin Sommer","C/ Araquil, 67","Margaret Peacock",1958-09-19,"Pasta Buttini s.r.l.","(089) 6547665","United Package","(503) 555-3199"
10326,1996-10-10,"Chef Antons Cajun Seasoning",Condiments,24,528,"Bolido Comidas preparadas","Martin Sommer","C/ Araquil, 67","Margaret Peacock",1958-09-19,"New Orleans Cajun Delights","(100) 555-4822","United Package","(503) 555-3199"
10362,1996-11-25,Tourtiere,Meat/Poultry,24,178.8,"Bon app","Laurence Lebihans","12, rue des Bouchers","Janet Leverling",1963-08-30,"Ma Maison","(514) 555-9022","Speedy Express","(503) 555-9831"
10331,1996-10-16,Tourtiere,Meat/Poultry,15,111.75,"Bon app","Laurence Lebihans","12, rue des Bouchers","Anne Dodsworth",1969-07-02,"Ma Maison","(514) 555-9022","Speedy Express","(503) 555-9831"
10362,1996-11-25,"Manjimup Dried Apples",Produce,20,1060,"Bon app","Laurence Lebihans","12, rue des Bouchers","Janet Leverling",1963-08-30,"Gday, Mate","(02) 555-5914","Speedy Express","(503) 555-9831"
10340,1996-10-29,"Ipoh Coffee",Beverages,40,1840,"Bon app","Laurence Lebihans","12, rue des Bouchers","Nancy Davolio",1968-12-08,"Leka Trading",555-8787,"Federal Shipping","(503) 555-9931"
10340,1996-10-29,"Jacks New England Clam Chowder",Seafood,12,115.80000000000001,"Bon app","Laurence Lebihans","12, rue des Bouchers","Nancy Davolio",1968-12-08,"New England Seafood Cannery","(617) 555-3267","Federal Shipping","(503) 555-9931"
10362,1996-11-25,"NuNuCa Nuss-Nougat-Creme",Confections,50,700,"Bon app","Laurence Lebihans","12, rue des Bouchers","Janet Leverling",1963-08-30,"Heli Susswaren GmbH and Co. KG","(010) 9984510","Speedy Express","(503) 555-9831"
10340,1996-10-29,"Carnarvon Tigers",Seafood,20,1250,"Bon app","Laurence Lebihans","12, rue des Bouchers","Nancy Davolio",1968-12-08,"Pavlova, Ltd.","(03) 444-2343","Federal Shipping","(503) 555-9931"
10389,1996-12-20,"Outback Lager",Beverages,30,450,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Margaret Peacock",1958-09-19,"Pavlova, Ltd.","(03) 444-2343","United Package","(503) 555-3199"
10389,1996-12-20,"Tarte au sucre",Confections,20,986,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Margaret Peacock",1958-09-19,"Forets derables","(514) 555-2955","United Package","(503) 555-3199"
10411,1997-01-10,"Raclette Courdavault","Dairy Products",9,495,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Anne Dodsworth",1969-07-02,"Gai paturage",38.76.98.06,"Federal Shipping","(503) 555-9931"
10410,1997-01-10,"Raclette Courdavault","Dairy Products",16,880,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Janet Leverling",1963-08-30,"Gai paturage",38.76.98.06,"Federal Shipping","(503) 555-9931"
10389,1996-12-20,"Pate chinois",Meat/Poultry,15,360,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Margaret Peacock",1958-09-19,"Ma Maison","(514) 555-9022","United Package","(503) 555-3199"
10431,1997-01-30,"Zaanse koeken",Confections,30,285,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Margaret Peacock",1958-09-19,"Zaanse Snoepfabriek","(12345) 1212","United Package","(503) 555-3199"
10431,1997-01-30,"Boston Crab Meat",Seafood,50,919.9999999999999,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Margaret Peacock",1958-09-19,"New England Seafood Cannery","(617) 555-3267","United Package","(503) 555-3199"
10411,1997-01-10,"Gula Malacca",Condiments,40,778,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Anne Dodsworth",1969-07-02,"Leka Trading",555-8787,"Federal Shipping","(503) 555-9931"
10411,1997-01-10,"Jacks New England Clam Chowder",Seafood,25,241.25,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Anne Dodsworth",1969-07-02,"New England Seafood Cannery","(617) 555-3267","Federal Shipping","(503) 555-9931"
10410,1997-01-10,Geitost,"Dairy Products",49,122.5,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Janet Leverling",1963-08-30,"Norske Meierier",(0)2-953010,"Federal Shipping","(503) 555-9931"
10431,1997-01-30,"Alice Mutton",Meat/Poultry,50,1950,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Margaret Peacock",1958-09-19,"Pavlova, Ltd.","(03) 444-2343","United Package","(503) 555-3199"
10389,1996-12-20,Ikura,Seafood,16,496,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.","Margaret Peacock",1958-09-19,"Tokyo Traders","(03) 3555-5011","United Package","(503) 555-3199"
10289,1996-08-26,"Wimmers gute Semmelknodel",Grains/Cereals,9,299.25,"Bs Beverages","Victoria Ashworth","Fauntleroy Circus","Robert King",1960-05-29,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10289,1996-08-26,"Aniseed Syrup",Condiments,30,300,"Bs Beverages","Victoria Ashworth","Fauntleroy Circus","Robert King",1960-05-29,"Exotic Liquid","(171) 555-2222","Federal Shipping","(503) 555-9931"
10259,1996-07-18,"Gravad lax",Seafood,1,26,"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Margaret Peacock",1958-09-19,"Svensk Sjofoda AB","08-123 45 67","Federal Shipping","(503) 555-9931"
10259,1996-07-18,"Sir Rodneys Scones",Confections,10,100,"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Margaret Peacock",1958-09-19,"Specialty Biscuits, Ltd.","(161) 555-4448","Federal Shipping","(503) 555-9931"
10370,1996-12-03,"Longlife Tofu",Produce,20,200,"Chop-suey Chinese","Yang Wang","Hauptstr. 29","Michael Suyama",1963-07-02,"Tokyo Traders","(03) 3555-5011","United Package","(503) 555-3199"
10254,1996-07-11,"Longlife Tofu",Produce,21,210,"Chop-suey Chinese","Yang Wang","Hauptstr. 29","Steven Buchanan",1955-03-04,"Tokyo Traders","(03) 3555-5011","United Package","(503) 555-3199"
10370,1996-12-03,"Wimmers gute Semmelknodel",Grains/Cereals,30,997.5,"Chop-suey Chinese","Yang Wang","Hauptstr. 29","Michael Suyama",1963-07-02,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","United Package","(503) 555-3199"
10254,1996-07-11,"Pate chinois",Meat/Poultry,21,504,"Chop-suey Chinese","Yang Wang","Hauptstr. 29","Steven Buchanan",1955-03-04,"Ma Maison","(514) 555-9022","United Package","(503) 555-3199"
10254,1996-07-11,"Guarana Fantastica",Beverages,15,67.5,"Chop-suey Chinese","Yang Wang","Hauptstr. 29","Steven Buchanan",1955-03-04,"Refrescos Americanas LTDA","(11) 555 4640","United Package","(503) 555-3199"
10370,1996-12-03,Chais,Beverages,15,270,"Chop-suey Chinese","Yang Wang","Hauptstr. 29","Michael Suyama",1963-07-02,"Exotic Liquid","(171) 555-2222","United Package","(503) 555-3199"
10290,1996-08-27,"Original Frankfurter grune Sosse",Condiments,10,130,"Comercio Mineiro","Pedro Afonso","Av. dos Lusiadas, 23","Laura Callahan",1958-01-09,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Speedy Express","(503) 555-9831"
10290,1996-08-27,Maxilaku,Confections,15,300,"Comercio Mineiro","Pedro Afonso","Av. dos Lusiadas, 23","Laura Callahan",1958-01-09,"Karkki Oy","(953) 10956","Speedy Express","(503) 555-9831"
10290,1996-08-27,"Thuringer Rostbratwurst",Meat/Poultry,15,1856.8500000000001,"Comercio Mineiro","Pedro Afonso","Av. dos Lusiadas, 23","Laura Callahan",1958-01-09,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Speedy Express","(503) 555-9831"
10290,1996-08-27,"Chef Antons Gumbo Mix",Condiments,20,427,"Comercio Mineiro","Pedro Afonso","Av. dos Lusiadas, 23","Laura Callahan",1958-01-09,"New Orleans Cajun Delights","(100) 555-4822","Speedy Express","(503) 555-9831"
10435,1997-02-04,"Mozzarella di Giovanni","Dairy Products",10,348,"Consolidated Holdings","Elizabeth Brown","Berkeley Gardens 12 Brewery","Laura Callahan",1958-01-09,"Formaggi Fortini s.r.l.","(0544) 60323","United Package","(503) 555-3199"
10435,1997-02-04,"Gustafs Knackebrod",Grains/Cereals,12,252,"Consolidated Holdings","Elizabeth Brown","Berkeley Gardens 12 Brewery","Laura Callahan",1958-01-09,"PB Knackebrod AB","031-987 65 43","United Package","(503) 555-3199"
10435,1997-02-04,Chang,Beverages,10,190,"Consolidated Holdings","Elizabeth Brown","Berkeley Gardens 12 Brewery","Laura Callahan",1958-01-09,"Exotic Liquid","(171) 555-2222","United Package","(503) 555-3199"
10363,1996-11-26,Lakkalikoori,Beverages,12,216,"Drachenblut Delikatessend","Sven Ottlieb","Walserweg 21","Margaret Peacock",1958-09-19,"Karkki Oy","(953) 10956","Federal Shipping","(503) 555-9931"
10363,1996-11-26,"Rhonbrau Klosterbier",Beverages,12,93,"Drachenblut Delikatessend","Sven Ottlieb","Walserweg 21","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10363,1996-11-26,"Gorgonzola Telino","Dairy Products",20,250,"Drachenblut Delikatessend","Sven Ottlieb","Walserweg 21","Margaret Peacock",1958-09-19,"Formaggi Fortini s.r.l.","(0544) 60323","Federal Shipping","(503) 555-9931"
10391,1996-12-23,Konbu,Seafood,18,108,"Drachenblut Delikatessend","Sven Ottlieb","Walserweg 21","Janet Leverling",1963-08-30,Mayumis,"(06) 431-7877","Federal Shipping","(503) 555-9931"
10311,1996-09-20,Gudbrandsdalsost,"Dairy Products",7,252,"Du monde entier","Janine Labrune","67, rue des Cinquante Otages","Nancy Davolio",1968-12-08,"Norske Meierier",(0)2-953010,"Federal Shipping","(503) 555-9931"
10311,1996-09-20,"Singaporean Hokkien Fried Mee",Grains/Cereals,6,84,"Du monde entier","Janine Labrune","67, rue des Cinquante Otages","Nancy Davolio",1968-12-08,"Leka Trading",555-8787,"Federal Shipping","(503) 555-9931"
10364,1996-11-26,Flotemysost,"Dairy Products",5,107.5,"Eastern Connection","Ann Devon","35 King George","Nancy Davolio",1968-12-08,"Norske Meierier",(0)2-953010,"Speedy Express","(503) 555-9831"
10364,1996-11-26,Gudbrandsdalsost,"Dairy Products",30,1080,"Eastern Connection","Ann Devon","35 King George","Nancy Davolio",1968-12-08,"Norske Meierier",(0)2-953010,"Speedy Express","(503) 555-9831"
10400,1997-01-01,Maxilaku,Confections,30,600,"Eastern Connection","Ann Devon","35 King George","Nancy Davolio",1968-12-08,"Karkki Oy","(953) 10956","Federal Shipping","(503) 555-9931"
10400,1997-01-01,"Steeleye Stout",Beverages,35,630,"Eastern Connection","Ann Devon","35 King George","Nancy Davolio",1968-12-08,"Bigfoot Breweries","(503) 555-9931","Federal Shipping","(503) 555-9931"
10400,1997-01-01,"Thuringer Rostbratwurst",Meat/Poultry,21,2599.59,"Eastern Connection","Ann Devon","35 King George","Nancy Davolio",1968-12-08,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10390,1996-12-23,"Mozzarella di Giovanni","Dairy Products",24,835.1999999999999,"Ernst Handel","Roland Mendel","Kirchgasse 6","Michael Suyama",1963-07-02,"Formaggi Fortini s.r.l.","(0544) 60323","Speedy Express","(503) 555-9831"
10382,1996-12-13,"Longlife Tofu",Produce,50,500,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Tokyo Traders","(03) 3555-5011","Speedy Express","(503) 555-9831"
10263,1996-07-23,"Longlife Tofu",Produce,36,360,"Ernst Handel","Roland Mendel","Kirchgasse 6","Anne Dodsworth",1969-07-02,"Tokyo Traders","(03) 3555-5011","Federal Shipping","(503) 555-9931"
10430,1997-01-30,"Raclette Courdavault","Dairy Products",70,3850,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Gai paturage",38.76.98.06,"Speedy Express","(503) 555-9831"
10402,1997-01-02,Vegie-spread,Condiments,65,2853.5,"Ernst Handel","Roland Mendel","Kirchgasse 6","Laura Callahan",1958-01-09,"Pavlova, Ltd.","(03) 444-2343","United Package","(503) 555-3199"
10368,1996-11-29,"Wimmers gute Semmelknodel",Grains/Cereals,35,1163.75,"Ernst Handel","Roland Mendel","Kirchgasse 6","Andrew Fuller",1952-02-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","United Package","(503) 555-3199"
10351,1996-11-11,"Louisiana Fiery Hot Pepper Sauce",Condiments,10,210.5,"Ernst Handel","Roland Mendel","Kirchgasse 6","Nancy Davolio",1968-12-08,"New Orleans Cajun Delights","(100) 555-4822","Speedy Express","(503) 555-9831"
10442,1997-02-11,"Louisiana Hot Spiced Okra",Condiments,60,1020,"Ernst Handel","Roland Mendel","Kirchgasse 6","Janet Leverling",1963-08-30,"New Orleans Cajun Delights","(100) 555-4822","United Package","(503) 555-3199"
10442,1997-02-11,Tourtiere,Meat/Poultry,80,596,"Ernst Handel","Roland Mendel","Kirchgasse 6","Janet Leverling",1963-08-30,"Ma Maison","(514) 555-9022","United Package","(503) 555-3199"
10430,1997-01-30,"Gnocchi di nonna Alice",Grains/Cereals,30,1140,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Pasta Buttini s.r.l.","(089) 6547665","Speedy Express","(503) 555-9831"
10368,1996-11-29,"Ravioli Angelo",Grains/Cereals,25,487.5,"Ernst Handel","Roland Mendel","Kirchgasse 6","Andrew Fuller",1952-02-19,"Pasta Buttini s.r.l.","(089) 6547665","United Package","(503) 555-3199"
10403,1997-01-03,Chocolade,Confections,70,892.5,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Zaanse Snoepfabriek","(12345) 1212","Federal Shipping","(503) 555-9931"
10390,1996-12-23,Spegesild,Seafood,45,540,"Ernst Handel","Roland Mendel","Kirchgasse 6","Michael Suyama",1963-07-02,Lyngbysild,43844108,"Speedy Express","(503) 555-9831"
10351,1996-11-11,"Gula Malacca",Condiments,77,1497.6499999999999,"Ernst Handel","Roland Mendel","Kirchgasse 6","Nancy Davolio",1968-12-08,"Leka Trading",555-8787,"Speedy Express","(503) 555-9831"
10351,1996-11-11,"Jacks New England Clam Chowder",Seafood,13,125.45,"Ernst Handel","Roland Mendel","Kirchgasse 6","Nancy Davolio",1968-12-08,"New England Seafood Cannery","(617) 555-3267","Speedy Express","(503) 555-9831"
10351,1996-11-11,"Cote de Blaye",Beverages,20,5270,"Ernst Handel","Roland Mendel","Kirchgasse 6","Nancy Davolio",1968-12-08,"Aux joyeux ecclesiastiques","(1) 03.83.00.68","Speedy Express","(503) 555-9831"
10390,1996-12-23,"Steeleye Stout",Beverages,40,720,"Ernst Handel","Roland Mendel","Kirchgasse 6","Michael Suyama",1963-07-02,"Bigfoot Breweries","(503) 555-9931","Speedy Express","(503) 555-9831"
10382,1996-12-13,Geitost,"Dairy Products",60,150,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Norske Meierier",(0)2-953010,"Speedy Express","(503) 555-9831"
10390,1996-12-23,"Gorgonzola Telino","Dairy Products",60,750,"Ernst Handel","Roland Mendel","Kirchgasse 6","Michael Suyama",1963-07-02,"Formaggi Fortini s.r.l.","(0544) 60323","Speedy Express","(503) 555-9831"
10382,1996-12-13,"Thuringer Rostbratwurst",Meat/Poultry,14,1733.0600000000002,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Speedy Express","(503) 555-9831"
10368,1996-11-29,"Rossle Sauerkraut",Produce,13,592.8000000000001,"Ernst Handel","Roland Mendel","Kirchgasse 6","Andrew Fuller",1952-02-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","United Package","(503) 555-3199"
10263,1996-07-23,"Nord-Ost Matjeshering",Seafood,60,1553.4,"Ernst Handel","Roland Mendel","Kirchgasse 6","Anne Dodsworth",1969-07-02,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713","Federal Shipping","(503) 555-9931"
10258,1996-07-17,"Mascarpone Fabioli","Dairy Products",6,192,"Ernst Handel","Roland Mendel","Kirchgasse 6","Nancy Davolio",1968-12-08,"Formaggi Fortini s.r.l.","(0544) 60323","Speedy Express","(503) 555-9831"
10402,1997-01-02,Tunnbrod,Grains/Cereals,60,540,"Ernst Handel","Roland Mendel","Kirchgasse 6","Laura Callahan",1958-01-09,"PB Knackebrod AB","031-987 65 43","United Package","(503) 555-3199"
10263,1996-07-23,"Guarana Fantastica",Beverages,28,126,"Ernst Handel","Roland Mendel","Kirchgasse 6","Anne Dodsworth",1969-07-02,"Refrescos Americanas LTDA","(11) 555 4640","Federal Shipping","(503) 555-9931"
10430,1997-01-30,"Sir Rodneys Scones",Confections,50,500,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Specialty Biscuits, Ltd.","(161) 555-4448","Speedy Express","(503) 555-9831"
10403,1997-01-03,Pavlova,Confections,21,366.45,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Pavlova, Ltd.","(03) 444-2343","Federal Shipping","(503) 555-9931"
10382,1996-12-13,"Carnarvon Tigers",Seafood,9,562.5,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Pavlova, Ltd.","(03) 444-2343","Speedy Express","(503) 555-9831"
10368,1996-11-29,"Sir Rodneys Scones",Confections,5,50,"Ernst Handel","Roland Mendel","Kirchgasse 6","Andrew Fuller",1952-02-19,"Specialty Biscuits, Ltd.","(161) 555-4448","United Package","(503) 555-3199"
10442,1997-02-11,"Queso Cabrales","Dairy Products",30,630,"Ernst Handel","Roland Mendel","Kirchgasse 6","Janet Leverling",1963-08-30,"Cooperativa de Quesos Las Cabras","(98) 598 76 54","United Package","(503) 555-3199"
10430,1997-01-30,"Alice Mutton",Meat/Poultry,45,1755,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"Pavlova, Ltd.","(03) 444-2343","Speedy Express","(503) 555-9831"
10263,1996-07-23,Pavlova,Confections,60,1047,"Ernst Handel","Roland Mendel","Kirchgasse 6","Anne Dodsworth",1969-07-02,"Pavlova, Ltd.","(03) 444-2343","Federal Shipping","(503) 555-9931"
10382,1996-12-13,"Chef Antons Gumbo Mix",Condiments,32,683.2,"Ernst Handel","Roland Mendel","Kirchgasse 6","Margaret Peacock",1958-09-19,"New Orleans Cajun Delights","(100) 555-4822","Speedy Express","(503) 555-9831"
10258,1996-07-17,"Chef Antons Gumbo Mix",Condiments,65,1387.75,"Ernst Handel","Roland Mendel","Kirchgasse 6","Nancy Davolio",1968-12-08,"New Orleans Cajun Delights","(100) 555-4822","Speedy Express","(503) 555-9831"
10258,1996-07-17,Chang,Beverages,50,950,"Ernst Handel","Roland Mendel","Kirchgasse 6","Nancy Davolio",1968-12-08,"Exotic Liquid","(171) 555-2222","Speedy Express","(503) 555-9831"
10347,1996-11-06,"Rhonbrau Klosterbier",Beverages,6,46.5,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10347,1996-11-06,"Boston Crab Meat",Seafood,4,73.6,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Margaret Peacock",1958-09-19,"New England Seafood Cannery","(617) 555-3267","Federal Shipping","(503) 555-9931"
10347,1996-11-06,"Chartreuse verte",Beverages,50,900,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Margaret Peacock",1958-09-19,"Aux joyeux ecclesiastiques","(1) 03.83.00.68","Federal Shipping","(503) 555-9931"
